grid_id,event_num,event_name,flood_ratio,flooded_pixels,total_pixels,grid_covered
35.4_-76.6,6,Hurricane Isabel,0.23110764024469607,8878,38415,True
35.4_-76.7,6,Hurricane Isabel,0.08248625603051722,3676,44565,True
35.4_-76.8,6,Hurricane Isabel,0.07905773304331755,5561,70341,True
35.4_-77.0,6,Hurricane Isabel,0.006548005716512927,756,115455,True
35.4_-77.1,6,Hurricane Isabel,0.0,0,121476,True
35.5_-76.5,6,Hurricane Isabel,0.43969932359214775,38548,87669,True
35.5_-76.6,6,Hurricane Isabel,0.21149377807610883,12288,58101,True
35.5_-76.7,6,Hurricane Isabel,0.05727364760772921,6506,113595,True
35.5_-77.0,6,Hurricane Isabel,0.026289536333749006,2319,88210,True
35.5_-77.1,6,Hurricane Isabel,0.10088093208297812,11715,116127,True
35.7_-77.1,6,Hurricane Isabel,0.0,0,121094,True
35.8_-77.5,6,Hurricane Isabel,0.0,0,120015,True
35.8_-77.6,6,Hurricane Isabel,0.0,0,119320,True
35.9_-77.8,6,Hurricane Isabel,8.407600470825626e-06,1,118940,True
35.2_-76.7,7,Hurricane Bonnie,0.0,0,111263,True
35.2_-76.8,7,Hurricane Bonnie,0.0,0,122177,True
35.2_-77.6,7,Hurricane Bonnie,0.0,0,120080,True
35.2_-78.1,7,Hurricane Bonnie,0.0,0,119006,True
35.3_-76.6,7,Hurricane Bonnie,0.0,0,85884,True
35.3_-76.7,7,Hurricane Bonnie,2.7106882437450867e-05,3,110673,True
35.3_-76.8,7,Hurricane Bonnie,0.0,0,116221,True
35.3_-77.0,7,Hurricane Bonnie,0.0,0,121476,True
35.4_-76.6,7,Hurricane Bonnie,0.00028634647923988024,11,38415,True
35.4_-76.7,7,Hurricane Bonnie,0.004644900706832716,207,44565,True
35.4_-76.8,7,Hurricane Bonnie,0.00685233363187899,482,70341,True
35.4_-77.0,7,Hurricane Bonnie,0.0,0,115455,True
35.4_-77.1,7,Hurricane Bonnie,0.0,0,121476,True
35.5_-76.5,7,Hurricane Bonnie,0.0,0,87669,True
35.5_-76.6,7,Hurricane Bonnie,0.006006781294642089,349,58101,True
35.5_-76.7,7,Hurricane Bonnie,0.0026849773317487564,305,113595,True
35.5_-77.0,7,Hurricane Bonnie,0.0032535993651513434,287,88210,True
35.5_-77.1,7,Hurricane Bonnie,0.00021528154520481887,25,116127,True
35.8_-77.8,7,Hurricane Bonnie,0.0,0,118940,True
