flood_ratio,mean_hag,pct_elevated,mean_age,res_ratio,bldg_density,mean_bldg_value,mean_sqft,areaSqKm_developed,loss_ratio
0.3694691015042688,3.5997,1.0,29.675078864353313,0.9664634146341464,2.6621215810404992,85937.27329192546,1650.1149068322982,119.1564,0.2738950276917418
0.1452116314958991,3.6441,1.0,38.77009803921569,0.9619140625,16.622027432838237,132720.7177734375,2089.14453125,119.1564,0.2449689766317486
0.0785345552042898,3.4353,1.0,35.133883704235465,0.943010752688172,22.644265887509125,166815.8340501792,2668.4372759856633,119.1564,0.060924020144515
0.2083220039426279,3.3161,0.9967,26.126648160999306,0.9786648313833448,23.58574791007223,135171.56743704726,1925.3932390479476,119.1564,0.1932549562433367
0.1009755058572949,3.6506,0.9997,28.760357971494862,0.975915539425932,24.600275951627296,131343.14955430836,2146.092769891053,119.1564,0.0563494942258662
0.0943270812206532,3.6204,0.9995,37.27407407407407,0.943952802359882,16.50840029218407,166836.43215339232,2618.4670599803344,119.1564,0.0952243783288097
0.0548345879708739,3.4116,0.9992,38.569131832797424,0.9273979862215156,15.315315315315312,154278.64952279956,2430.503711558855,119.1564,0.0250529047267521
0.0468017130038746,3.3389,0.9987,27.8,0.9645083932853716,16.922327733138538,127076.85590778098,2088.260806916426,119.1564,0.1924474767674584
0.0731880341880341,3.3782,0.9996,27.504720692368213,0.9590003904724717,20.78565051538024,109705.39359625148,1977.3545490042952,119.1564,0.2743076869342805
0.1057094017094017,3.1975,0.9972,29.95077565632458,0.9687868080094229,27.562697832968095,131107.38309776207,2158.270023557126,119.1564,0.2015713302879372
0.0907435897435897,3.221,0.9924,30.870734908136484,0.9760981912144704,25.12783053323593,113427.44893341952,2018.268907563025,119.1564,0.2307570787958595
0.0067512274959083,3.4196,0.9991,29.909739928607852,0.9678318135764944,32.042853664475274,174653.3988336714,2654.082910750507,119.1564,0.0322451906012635
0.0582849078532292,3.7665,1.0,40.046306504961414,0.8745945945945945,7.507507507507506,66555.27620087336,1700.8176855895197,119.1564,0.4985383647657452
0.0506996935189595,3.4472,1.0,9.517241379310343,0.9775280898876404,0.7223439655872086,111209.14942528737,2129.4827586206898,119.1564,0.084642200837275
0.0013750542246085,3.3014,1.0,9.54739336492891,0.9645232815964524,3.6604171739306866,183913.3317535545,1747.5,119.1564,0.1230630050146276
0.0794273744173145,3.5401,0.9989,44.32512315270936,0.9592326139088728,3.3844655466277076,64298.59375,1747.6225961538462,119.1564,0.1817569465145631
0.1219770153231179,3.5992,0.9942,47.74004400440044,0.937588963100843,74.12547682817952,209963.4498027181,2926.780688294607,119.1564,0.1165702761021154
0.161342438374417,3.6724,0.9992,34.118983152827916,0.9413864921154418,54.55725996266535,179777.86992840096,3619.206443914082,119.1564,0.0735961127279923
0.1755746169220519,3.8339,0.9965,32.63628034814475,0.948499776085983,18.12352893433974,192752.37078651684,1927.5177528089887,119.1564,0.1581533071181471
