flood_ratio,mean_hag,pct_elevated,mean_age,res_ratio,bldg_density,mean_bldg_value,mean_sqft,areaSqKm_developed,pct_miss_elev,loss_ratio,event_name,county,year,grid_id,total_paid,total_bldg_val
0.3694691015042688,3.5997,1.0,29.675078864353313,0.9664634146341464,2.6621215810404992,85937.27329192546,1650.1149068322982,119.1564,0.0,0.2738950276917418,Hurricane Florence,Robeson,2018,34.4_-79.0,1346442.21,4915906.0
0.1452116314958991,3.6441,1.0,38.77009803921569,0.9619140625,16.622027432838237,132720.7177734375,2089.14453125,119.1564,0.0,0.2449689766317486,Hurricane Florence,Robeson,2018,34.4_-79.1,97282.08,397120.0
0.0785345552042898,3.4353,1.0,35.133883704235465,0.943010752688172,22.644265887509125,166815.8340501792,2668.4372759856633,119.1564,0.0,0.060924020144515,Hurricane Florence,Robeson,2018,34.4_-79.2,24763.36,406463.0
0.2083220039426279,3.3161,0.9967,26.126648160999306,0.9786648313833448,23.58574791007223,135171.56743704726,1925.3932390479476,119.1564,0.0,0.1932549562433367,Hurricane Florence,Robeson,2018,34.5_-79.0,13768213.2,71243778.0
0.1009755058572949,3.6506,0.9997,28.760357971494862,0.975915539425932,24.600275951627296,131343.14955430836,2146.092769891053,119.1564,0.0,0.0563494942258662,Hurricane Florence,Robeson,2018,34.5_-79.1,1562920.56,27736195.0
0.0943270812206532,3.6204,0.9995,37.27407407407407,0.943952802359882,16.50840029218407,166836.43215339232,2618.4670599803344,119.1564,0.0,0.0952243783288097,Hurricane Florence,Robeson,2018,34.5_-79.2,284005.28,2982485.0
0.0548345879708739,3.4116,0.9992,38.569131832797424,0.9273979862215156,15.315315315315312,154278.64952279956,2430.503711558855,119.1564,0.0,0.0250529047267521,Hurricane Florence,Robeson,2018,34.5_-79.3,11199.4,447030.0
0.0468017130038746,3.3389,0.9987,27.8,0.9645083932853716,16.922327733138538,127076.85590778098,2088.260806916426,119.1564,0.0,0.1924474767674584,Hurricane Florence,Robeson,2018,34.7_-79.0,7023937.23,36497944.0
0.0731880341880341,3.3782,0.9996,27.504720692368213,0.9590003904724717,20.78565051538024,109705.39359625148,1977.3545490042952,119.1564,0.0,0.2743076869342805,Hurricane Florence,Robeson,2018,34.7_-79.1,510490.72,1861015.0
0.1057094017094017,3.1975,0.9972,29.95077565632458,0.9687868080094229,27.562697832968095,131107.38309776207,2158.270023557126,119.1564,0.0,0.2015713302879372,Hurricane Florence,Robeson,2018,34.7_-79.2,1447947.74,7183302.0
